,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Table for space types,,,,,,,,,,,,,,
id,nane,desc,Category,Default sf,Default Cost,,,,,,,,,
Elementary,Z20,14,15,16,0.9,1.1,0.7,1,1.3,1,1.1,1.2,1.3,
,,,,,,,,,,,,,,
Building table,,,,,,,,,,,,,,
id,name,Description,Cost,Sf,Student Population,Procurment type,Construction type,Stories,,,,,,
1,Elementary,Test Elementary,sum(csf)*sf,75000,1200,CMAR,Steel,1,,,,,,
,,,,,,,,,,,,,,
Element codes,,,,,,,,,,,,,,
Id,name,,,,,,,,,,,,,
A10,Foundations,,,,,,,,,,,,,
A20,Basement Construction,,,,,,,,,,,,,
A30,Substructure Specialties,,,,,,,,,,,,,
B10,Floor Construction,,,,,,,,,,,,,
B20,Roof Construction,,,,,,,,,,,,,
B30,Structural Frame,,,,,,,,,,,,,
B40,Structural Specialties,,,,,,,,,,,,,
C10,Exterior Walls,,,,,,,,,,,,,
C20,Exterior Windows,,,,,,,,,,,,,
C30,Exterior Doors,,,,,,,,,,,,,
C40,Roofing,,,,,,,,,,,,,
C50,Exterior Specialties,,,,,,,,,,,,,
D10,Interior Partitions,,,,,,,,,,,,,
D20,Interior Doors,,,,,,,,,,,,,
D30,Fittings & Specialties,,,,,,,,,,,,,
D40,Stairs,,,,,,,,,,,,,
D50,Finishes,,,,,,,,,,,,,
E10,Plumbing,,,,,,,,,,,,,
E20,HVAC,,,,,,,,,,,,,
E30,Fire Protection,,,,,,,,,,,,,
E40,Electrical,,,,,,,,,,,,,
E50,Conveying Systems,,,,,,,,,,,,,
F10,Fixed Equipment,,,,,,,,,,,,,
F20,Furnishings,,,,,,,,,,,,,
G10,Special Construction,,,,,,,,,,,,,
G20,Building Demolition,,,,,,,,,,,,,
Z10,General Requirements,,,,,,,,,,,,,
Z20,Contingency / Escalation,,,,,,,,,,,,,
